"category","details","state"
"Recreational Services","Park, Gym, Bar, Sports Complex",1
"Health Services","Hospital, Pharmacy",1
"Child Care Services","Day Care",1
"Primary Education","Primary School",1
"Secondary Education","High School",1
"Tertiary Institution","College, University",1
"Government Services","Police Station, Fire Station, Government office",1
"Shopping Centre","Supermarket,Grocery Shop",1
"Food & Beverage","Café,Eatery,Fast Food,Fine Dining,Bakery,Bar",1
"Entertainment & Leisure","Bar, Nightclub, Casino",1
"Hospitality & Accommodation","Hotel,Motel,Resort,Guest House,Hostel",1

